transaction_id,customer_id,account_id,transaction_type,amount,timestamp,status,merchant_category
TXN_10000,CUST_139,ACC_1037,DEBIT,796.6,2026-01-01 00:00:00.000000,SUCCESS,HEALTHCARE
TXN_10001,CUST_129,ACC_1036,CREDIT,2856.81,2026-01-01 01:38:01.081081,SUCCESS,SHOPPING
TXN_10002,CUST_115,ACC_1024,DEBIT,930.03,2026-01-01 03:16:02.162162,FAILED,
TXN_10003,CUST_143,ACC_1031,DEBIT,3218.43,2026-01-01 04:54:03.243243,PENDING,HEALTHCARE
TXN_10004,CUST_108,ACC_1006,CREDIT,7749.59,2026-01-01 06:32:04.324324,SUCCESS,ENTERTAINMENT
TXN_10005,CUST_121,ACC_1002,TRANSFER,3244.89,2026-01-01 08:10:05.405405,SUCCESS,TRAVEL
TXN_10006,CUST_139,ACC_1020,DEBIT,5017.26,2026-01-01 09:48:06.486486,SUCCESS,SHOPPING
TXN_10007,CUST_119,ACC_1028,DEBIT,55.27,2026-01-01 11:26:07.567567,SUCCESS,HEALTHCARE
TXN_10008,CUST_123,ACC_1011,DEBIT,3210.83,2026-01-01 13:04:08.648648,SUCCESS,TRAVEL
TXN_10009,CUST_111,ACC_1004,DEBIT,4473.83,2026-01-01 14:42:09.729729,SUCCESS,FOOD
TXN_10010,CUST_111,ACC_1015,CREDIT,153.51,2026-01-01 16:20:10.810810,SUCCESS,FOOD
TXN_10011,CUST_124,ACC_1006,DEBIT,5181.47,2026-01-01 17:58:11.891891,PENDING,SHOPPING
TXN_10012,CUST_136,ACC_1049,CREDIT,791.62,2026-01-01 19:36:12.972972,SUCCESS,HEALTHCARE
TXN_10013,CUST_140,ACC_1030,DEBIT,2786.24,2026-01-01 21:14:14.054054,SUCCESS,HEALTHCARE
TXN_10014,CUST_124,ACC_1038,DEBIT,4078.03,2026-01-01 22:52:15.135135,SUCCESS,HEALTHCARE
TXN_10015,CUST_103,ACC_1002,DEBIT,2766.69,2026-01-02 00:30:16.216216,SUCCESS,ENTERTAINMENT
TXN_10016,CUST_122,ACC_1015,DEBIT,292.06,2026-01-02 02:08:17.297297,SUCCESS,TRAVEL
TXN_10017,CUST_102,ACC_1011,DEBIT,2317.84,2026-01-02 03:46:18.378378,SUCCESS,HEALTHCARE
TXN_10018,CUST_124,ACC_1008,DEBIT,2043.96,2026-01-02 05:24:19.459459,SUCCESS,TRAVEL
TXN_10019,CUST_144,ACC_1026,TRANSFER,5814.51,2026-01-02 07:02:20.540540,SUCCESS,SHOPPING
TXN_10020,CUST_130,ACC_1045,DEBIT,1344.79,2026-01-02 08:40:21.621621,SUCCESS,HEALTHCARE
TXN_10021,CUST_138,ACC_1044,TRANSFER,1018.13,2026-01-02 10:18:22.702702,SUCCESS,SHOPPING
TXN_10022,CUST_102,ACC_1005,DEBIT,3514.24,2026-01-02 11:56:23.783783,SUCCESS,HEALTHCARE
TXN_10023,CUST_121,ACC_1006,TRANSFER,1380.44,2026-01-02 13:34:24.864864,SUCCESS,FOOD
TXN_10024,CUST_133,ACC_1026,CREDIT,2646.83,2026-01-02 15:12:25.945945,SUCCESS,UTILITIES
TXN_10025,CUST_112,ACC_1004,CREDIT,2649.33,2026-01-02 16:50:27.027027,SUCCESS,SHOPPING
TXN_10026,CUST_122,ACC_1019,CREDIT,5524.01,2026-01-02 18:28:28.108108,SUCCESS,HEALTHCARE
TXN_10027,CUST_144,ACC_1020,CREDIT,2332.57,2026-01-02 20:06:29.189189,SUCCESS,UTILITIES
TXN_10028,CUST_125,ACC_1033,CREDIT,1793.66,2026-01-02 21:44:30.270270,SUCCESS,SHOPPING
TXN_10029,CUST_149,ACC_1020,CREDIT,423.78,2026-01-02 23:22:31.351351,SUCCESS,ENTERTAINMENT
TXN_10030,CUST_127,ACC_1049,CREDIT,357.5,2026-01-03 01:00:32.432432,SUCCESS,HEALTHCARE
TXN_10031,CUST_142,ACC_1012,DEBIT,469.04,2026-01-03 02:38:33.513513,SUCCESS,ENTERTAINMENT
TXN_10032,CUST_128,ACC_1047,DEBIT,127057.68,2026-01-03 04:16:34.594594,SUCCESS,FOOD
TXN_10033,CUST_116,ACC_1001,CREDIT,2589.43,2026-01-03 05:54:35.675675,SUCCESS,HEALTHCARE
TXN_10034,CUST_115,ACC_1026,CREDIT,3427.14,2026-01-03 07:32:36.756756,SUCCESS,FOOD
TXN_10035,CUST_147,ACC_1014,CREDIT,1937.51,2026-01-03 09:10:37.837837,SUCCESS,UTILITIES
TXN_10036,CUST_144,ACC_1038,CREDIT,4465.49,2026-01-03 10:48:38.918918,SUCCESS,SHOPPING
TXN_10037,CUST_103,ACC_1037,TRANSFER,11900.54,2026-01-03 12:26:40.000000,FAILED,TRAVEL
TXN_10038,CUST_137,ACC_1011,DEBIT,4337.17,2026-01-03 14:04:41.081081,SUCCESS,FOOD
TXN_10039,CUST_107,ACC_1036,DEBIT,3017.64,2026-01-03 15:42:42.162162,SUCCESS,TRAVEL
TXN_10040,CUST_121,ACC_1013,DEBIT,1950.85,2026-01-03 17:20:43.243243,SUCCESS,TRAVEL
TXN_10041,CUST_109,ACC_1043,DEBIT,1539.38,2026-01-03 18:58:44.324324,SUCCESS,SHOPPING
TXN_10042,CUST_139,ACC_1003,TRANSFER,270.42,2026-01-03 20:36:45.405405,SUCCESS,UTILITIES
TXN_10043,CUST_118,ACC_1033,DEBIT,1324.44,2026-01-03 22:14:46.486486,SUCCESS,SHOPPING
TXN_10044,CUST_104,ACC_1006,CREDIT,6073.61,2026-01-03 23:52:47.567567,SUCCESS,HEALTHCARE
TXN_10045,CUST_125,ACC_1010,DEBIT,4175.94,2026-01-04 01:30:48.648648,SUCCESS,FOOD
TXN_10046,CUST_114,ACC_1005,CREDIT,658.53,2026-01-04 03:08:49.729729,SUCCESS,TRAVEL
TXN_10047,CUST_109,ACC_1023,CREDIT,1621.25,2026-01-04 04:46:50.810810,SUCCESS,SHOPPING
TXN_10048,CUST_126,ACC_1010,DEBIT,4291.89,2026-01-04 06:24:51.891891,SUCCESS,SHOPPING
TXN_10049,CUST_102,ACC_1044,CREDIT,224.41,2026-01-04 08:02:52.972972,SUCCESS,SHOPPING
TXN_10050,CUST_120,ACC_1002,DEBIT,1275.08,2026-01-04 09:40:54.054054,PENDING,FOOD
TXN_10051,CUST_128,ACC_1013,DEBIT,4823.68,2026-01-04 11:18:55.135135,SUCCESS,UTILITIES
